Variable Name,Variable Label,Variable Type,Description,Definition,Response Options
Belief in God (categorical),beliefInGod_cat,Categorical,Categorical Response to belief in god options,issp_01 default,"1. I don't believe in God

2. I don't know whether there is a God, and I don't believe there is any way to find out

3. I don't believe in a personal God, but I do believe in a Higher Power of some kind

4. I find myself believing in God some of the time, but not at others

5. While I have doubts, I feel that I do believe in God.

6. I know God really exists and I have no doubt about it.

7. Don't know"
Non-Belief Identity,nonBeliefIdentity,Categorical,Categorical response to non-believers identity options,issp_02 default,"1.	Spiritual but not religious
2.	Seeker
3.	Non-religious
4.	Atheist
5.	Agnostic
6.	Humanist
7.	Sceptic
8.	Free thinker
9.	Rationalist
10.	Secular
11.	Christian
12.	Muslim
13.	Jewish
14.	Buddhist
15.	Hindu
16.	Daoist
17.	Shinto
18.	Confucian
19.	Other (please specify)"
Belief in God (binary),beliefInGod_bin,binary (dummy),"Categorisation of ""believers"" and ""non-believers"" from issp_01",dummy variable for yes responses to either 5 & 6 in issp_01,"0,1"
Belief in God (ordinal),beliefInGod_ord,continuous/ ordinal,Likert measure of agreement with belief in god statement.,belief_01,1 to 7
Agnosticism (ordinal),agnosticism_ord,continuous/ ordinal,Likert scale measure of agreement with agnosticism statement.,agn_01,1 to 7
Agnostic Identity (binary),agnosticIdentity_bin,binary,"Categorisation of ""agnostics"" from issp_02",dummy/index variable for response 5 in issp_02,"0,1"
Belief Change,beliefChange,Categorical,catgeorical response to issp_03,isssp_03 default,"1. Generally speaking, I have always believed in God.
2. Generally speaking, I have never believed in God.
3. I believed in God in the past, but now I do not.
4. I did not believe in God in the past, but now I do."
New Believer,changeNewBeliever,binary,dummy categorisation from issp_03,dummy variable for 4 on issp_03,"0,1"
New Non-Believer,changeNewNonBeliever,binary,dummy categorisation from issp_03,dummy variable for 3 on issp_03,"0,1"
Always Believer,noChangeBeliever,binary,dummy categorisation from issp_03,dummy variable for 1 on issp_03,"0,1"
Always Non-Believer,noChangeNonBeliever,binary,dummy categorisation from issp_03,dummy variable for 2 on issp_03,"0,1"
